date,symbol,calendarYear,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
2023-10-30,1101.TW,2023,Q3,1.7311906964357329,1.5777098618662313,0.768615565169676,129.49453588997054,56.996592743292716,186.49112863326326,47.64851283069321,138.84261580257004,0.21386894809266754,0.19770183961784282,0.12136291536426184,0.04617548591151129,0.3004827167625295,0.0026364938920356465,0.00560635406458399,0.014101163290375385,0.38047442888891536,0.6138684172026728,0.19770183961784282,0.3492289612262192,0.7426154910335696,0.31928399990773537,0.42614994234506315,5.97848334035138,0.039739417057305305,2.1264430316033476,0.6950100201638746,1.8888312489372325,1.5790417579056264,0.1775174516228283,0.05709726362356229,0.8948575282371812,0.1936033697771716,14.99612236089701,0.0,0.24306165406026814,0.21635105440590002,0.039739417057305305,0.10787245551529363,-1.2760815995763,-1.2760815995763,0.0,1.0915901149891079,1.0915901149891079,8.990638727981361,48.67647059096808,170.96809853101496,36.98912838695689,36.98912838695689,-0.782300420211987,8.990638727981361,0.0,43.59977602965646,1.0915901149891079
2023-07-30,1101.TW,2023,Q2,1.6828855671050558,1.5138239558553022,0.5760498944348729,121.02432709674869,60.19949053842582,181.2238176351745,49.61179727203683,131.61202036313767,0.216311466409756,0.2357385409597039,0.20897088438072792,0.12801322902987475,0.27243392564015334,0.007761511595011132,0.016528986595466526,0.017880088616004673,0.6125888274303567,0.8864519290311907,0.2357385409597039,0.3436977149547882,0.731941820074292,0.31998846821149435,0.42261339935939374,7.733498141462287,0.03463735608894727,2.129609212474908,0.7436521413422331,1.8140846522149188,1.4950292634545184,0.18379740654349314,0.06063054306051298,0.6902200682725211,0.026606136083795202,12.881354546793958,0.0,0.1963495548434194,0.03854732324776486,0.03463735608894727,0.0969954575216652,-1.0400927931034285,-1.0400927931034285,0.0,1.397617644330273,1.397617644330273,10.824229698928828,21.138888888590476,1430.121227680814,55.12734524690266,55.12734524690266,0.09546594981944087,10.824229698928828,0.0,45.76687203254521,1.397617644330273
2023-04-30,1101.TW,2023,Q1,2.2172706490464664,1.9894905646760686,0.9544949758242713,133.89413775797766,59.579816061874766,193.47395381985243,54.22649742465472,139.2474563951977,0.09390126509696615,0.0765280815901199,0.056316283786741285,0.03824333416780978,0.3209187184184635,0.0021783765950625002,0.004569508558225092,0.005195801206570022,0.6790812815815365,0.7358904419996849,0.0765280815901199,0.3479363388543377,0.7298545539444643,0.3496094618288277,0.42191671680155357,2.4266995471893784,0.04954618836709475,2.097666936278292,0.6721728188181086,1.6597052045460055,1.5105786816550977,0.1790200514231993,0.05696094868464909,1.1147902133803362,-0.025132482841421635,15.2374776382019,0.0,0.30264452721940344,-0.022544585106477888,0.04954618836709475,0.1880309422543217,-0.9779524673693027,-0.9779524673693027,0.0,1.1807414455713052,1.1807414455713052,9.881913797379054,64.59892954166683,-1448.32487222504,32.651883343706125,32.651883343706125,-1.0570733925000029,9.881913797379054,0.0,81.64224304278473,1.1807414455713052
2023-01-31,1101.TW,2022,Q4,2.3351340698572947,2.1067802804625075,1.181268312286078,109.35019259349545,49.133463903671284,158.48365649716675,41.80902948038642,116.67462701678033,0.14954759111544483,0.13560253970408517,0.10980729223656381,0.07176817241861695,0.31605268600280706,0.005397362487488606,0.011414468762411667,0.012187143371925616,0.6535829356761014,0.8097731242806196,0.13560253970408517,0.36011909499303335,0.7615883072657192,0.3523635718864753,0.4323304736552391,5.389924966566423,0.018251455686462446,2.114823451059857,0.8230438178977064,2.1526450414789244,1.831745471405185,0.24771214352809814,0.07520551667396937,0.4413809376163857,-0.43088211041107666,16.954717420695033,0.0012399719679488958,0.08739648359319489,-0.9762136823080616,0.018251455686462446,0.06390492887524162,-0.50601815428789,-0.5062790132838235,0.0012399719679488958,1.0597154634694161,1.0597154634694161,6.6629331316229266,23.209916412384963,-78.09560709748826,76.2380001767226,76.2380001767226,0.36472725790890664,6.6629331316229266,1.3356058095142887e-05,43.89518015877992,1.0597154634694161
2022-10-30,1101.TW,2022,Q3,2.335154776825361,2.0897347502049213,1.2469306991355895,115.3611453586983,55.72330435993794,171.08444971863622,43.82392726523806,127.26052245339815,0.0823556223756577,0.10182123620587658,0.06758090695265076,0.04850558281010889,0.2209508477775406,0.0032908882263930268,0.007495213987016076,0.008290310903153233,0.7177409270948875,0.6637211398220124,0.10182123620587658,0.39471590787052857,0.8989913938254818,0.3957497253117329,0.4734046698413313,3.8996761125631902,0.006365662492295981,2.277565651395944,0.7801586896537687,2.0536726308276263,1.615123170346394,0.22706399329759638,0.06784555582552827,0.16797234575425365,-0.7532795943375464,17.47791439272502,4.359738507366983,0.03703452966477949,-4.484545303901435,0.006365662492295981,0.0234489763671144,-0.18233052050616652,4.433095517393896,4.359738507366983,1.1515374215652818,1.1515374215652818,7.452221358513995,38.40909090654665,-44.87045746901533,201.2235993265818,201.2235993265818,-0.14936868685879257,7.452221358513995,0.028376996203676653,60.23190699388537,1.1515374215652818
2022-07-30,1101.TW,2022,Q2,2.0977620819090137,1.8754896135860462,1.1569880972155213,133.84687673478493,65.77063720066612,199.61751393545103,47.76712947643236,151.85038445901867,0.004380758264621106,0.014697412600997075,-0.01726717307244035,-0.03736282626070322,-1.1638067855089131,-0.002079966049976553,-0.004693663063153125,0.0010126874218077929,2.163806785508913,-1.1748444124967234,0.014697412600997075,0.3794606072706658,0.8562929362659816,0.37027033274537996,0.46129192194657276,0.5605342244142436,-0.0016047290830710033,2.2566056129647096,0.6724101614887384,1.8841408513861972,1.3683917904795437,0.19259228758464608,0.05566939811949348,-0.04090858338616299,-0.9926090377252939,18.636368577488064,0.0,-0.010938352001937577,24.264077500689897,-0.0016047290830710033,-0.005121383677353349,0.04298472612852777,0.04298472612852777,0.0,1.2062159015015859,1.2062159015015859,9.601804508401496,-64.24704358152574,-36.17738569285336,-877.810890223744,-877.810890223744,0.3093376172443832,9.601804508401496,0.0,124.13997674569688,1.2062159015015859
2022-04-30,1101.TW,2022,Q1,1.6508815657272145,1.5198385516893407,0.8940551430700565,160.35387180016104,58.14427494744269,218.49814674760373,99.8021919140396,118.69595483356413,0.08689857396758809,0.08280014926788784,0.051020218503428805,0.037282410342960516,0.2692620408817936,0.001891416991122643,0.00398751819178951,0.005542879025575314,0.7307379591182064,0.6161851029804343,0.08280014926788784,0.3680351058490814,0.7758980101576298,0.3028148156226559,0.436904600218996,3.6218008034881284,0.013647658707800506,2.1082173896633627,0.5612586649118229,0.9017838012768066,1.547873803248077,0.18054500297445716,0.05073215421759262,0.3381009592860857,-0.5010589967665928,18.689467431133473,0.0,0.0990065885153308,-1.481980405570572,0.013647658707800506,0.031002536483684843,-0.40290406715363014,-0.40290406715363014,0.0,1.4209708464964623,1.4209708464964623,13.285762129824931,89.08867484431222,-90.54821945674914,134.19068699420626,134.19068699420626,-1.0807478587670662,13.285762129824931,0.0,97.20815201358012,1.4209708464964623
2022-01-31,1101.TW,2021,Q4,1.9095423970024885,1.7493554480806235,1.0274442413654128,124.72622908128892,52.9533450760218,177.67957415731073,39.57164600904833,138.1079281482624,0.2435780200696454,0.25406020495439174,0.22339980255274508,0.17984132015177795,0.2631001780461797,0.012270784408381367,0.026505705647089987,0.021690081987222363,0.8050200496901384,0.879318359177303,0.25406020495439174,0.37174199924883494,0.8029872973744234,0.33168912922203375,0.4453649221731973,16.452165000290083,0.04006828537402524,2.1600661184288823,0.7215803817923776,2.2743557338863507,1.699609342352077,0.2491645323695433,0.06823117400397961,0.9779361145744846,-0.42375353725625964,16.853881617587476,0.006540996963734562,0.21830291987272907,-0.43331413058678325,0.04006828537402524,0.10491251530949593,-0.6976837656589703,-0.7003166206241123,0.006540996963734562,1.43576608575641,1.43576608575641,9.741678706068782,13.542047369657936,-102.98439107449683,44.62459188245487,44.62459188245487,0.3656352789807644,9.741678706068782,0.00012075347222588735,41.44551840555892,1.43576608575641
2021-10-30,1101.TW,2021,Q3,1.8407053441191437,1.679605363642895,0.8157068341469227,140.0407526652598,46.60001669612445,186.64076936138423,34.310535752096825,152.3302336092874,0.19254167709517855,0.14344574351544961,0.17453608870241735,0.1482243951884706,0.2111622880868242,0.009926946226855483,0.019753056601343102,0.011760651220273699,0.849247833444876,1.2167394056110084,0.14344574351544961,0.3324143561015874,0.6614521164031354,0.28982110385843346,0.3981168700998184,9.376950275275762,0.00022563290874074083,1.9898422082618854,0.6426700677275529,2.623100981292599,1.9313297801347131,0.23380188050890252,0.0669724185025896,0.004080001325181178,-0.40143608056050856,11.063265727869037,5.274388854366086,0.0011199180162723473,-98.39116425842883,0.00022563290874074083,0.0005890732575455676,-0.010061256525780111,0.0016703149496600197,5.2743888543660855,1.6962022862871935,1.6962022862871935,12.728083712630339,21.46759259237708,-115.51029477782737,11365.192387024746,11365.192387024746,-0.45125755857445704,12.728083712630339,0.06142268668074788,58.15368078270407,1.6962022862871935
2021-07-30,1101.TW,2021,Q2,1.877726243730513,1.7433585049249873,0.8950901451500292,149.35531495500274,42.03548962175327,191.390804576756,34.044932217143774,157.34587235961223,0.30761540031570395,0.2516930425068335,0.3501325247683532,0.2691763568495238,0.20968580755748614,0.019424918201992842,0.034725592390028,0.022256125150305592,0.7687842111429385,1.3911092705665358,0.2516930425068335,0.28782308678231894,0.514536385075592,0.2395713611164382,0.33973194051056815,18.73502939064287,0.046935271218613565,1.7876828117847845,0.6025898711881454,2.6435652574064843,2.141047976598926,0.25641564294818026,0.07216428080588017,0.7144631657642466,0.16572138968984657,10.62222977484765,0.0,0.1871986319304651,0.23195232117050815,0.046935271218613565,0.12105907415101017,-1.3020025026623407,-1.3020025026623407,0.0,1.5673741328563089,1.5673741328563089,12.149542451681771,11.283998522271466,279.8069705231358,64.90187629252931,64.90187629252931,0.1150525339525718,12.149542451681771,0.0,34.094625071272496,1.5673741328563089
2021-04-30,1101.TW,2021,Q1,1.7509063668330922,1.6382337665232474,0.7897766373003844,195.26657785502738,42.40292567976914,237.66950353479652,35.217919273834156,202.45158426096236,0.2507000292045632,0.19092669219025693,0.22030808908317456,0.15060470144460036,0.22938522242610976,0.008508598919211815,0.015751379605522472,0.013339566362324397,0.6836094946461155,1.153888367078812,0.19092669219025693,0.28739983247798767,0.5320433954999138,0.25516855491578594,0.3472769747010366,10.068669117084003,0.06355058049018593,1.8512307084961979,0.46090836941291147,2.55551724394085,2.122495053282135,0.21806175090182692,0.05649623708687266,1.1072960517436705,0.6479958940794498,11.576465431230423,0.0,0.3232857112000861,0.5852056395026821,0.06355058049018593,0.17846546301571112,-2.410833162729237,-2.410833162729237,0.0,1.2992789171789436,1.2992789171789436,12.422880935863764,20.62166854139261,65.66399631350596,38.42694095494703,38.42694095494703,-0.4124333708278522,12.422880935863764,0.0,46.014620897725685,1.2992789171789436
2021-01-31,1101.TW,2020,Q4,1.7240329859318746,1.604374451865915,0.7133270039316147,119.167997431034,32.86974138848797,152.03773881952196,25.403870699532515,126.63386811998944,0.3229761772551673,0.2647985558844288,0.28443969457225915,0.20835400271847365,0.2025820257556768,0.017180911065054167,0.03279273002209805,0.026795630940910465,0.7325067727688174,1.0741738889860213,0.2647985558844288,0.31350498326809845,0.5983782954213613,0.2838229130050449,0.3743658789258134,17.998478435687986,0.0902638137241483,1.9086723572417645,0.7552363213293538,3.5427672052218475,2.7380805627975175,0.30426988902823765,0.08246019198521895,1.7131068959214406,1.0050305310263525,11.36961036769309,7.725559438093314e-05,0.3431735329500122,0.586671230744051,0.0902638137241483,0.26728565014920486,-2.419381553817663,-2.419656138317396,7.725559438093315e-05,1.2384444378774753,1.2384444378774753,7.868660389126492,9.441455751342783,39.08338979502112,22.929100392694526,22.929100392694526,-0.7957798418988924,7.868660389126492,2.0456483728673326e-06,27.805032421946333,1.2384444378774753
